"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C11, C13","3","47p","Capacitor_SMD:C_0805_2012Metric","","",""
"2","C2, C3","2","22U 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"3","C4","1","100p","Capacitor_SMD:C_0805_2012Metric","","",""
"4","C5","1","220p","Capacitor_SMD:C_0805_2012Metric","","",""
"5","C6, C7, C8, C9, C10","5","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"6","C12","1","10p","Capacitor_SMD:C_0805_2012Metric","","",""
"7","D1, D2, D3, D4, D5, D6","6","1N4148","Diode_SMD:D_SOD-323_HandSoldering","","",""
"8","D7, D8","2","D_Dual_Series_AKC","Package_TO_SOT_SMD:SOT-23_Handsoldering","","Mouser","863-BAT54SLT1G"
"9","J1","1","EXP FM","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"10","J2, J3","2","1V/OCT","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"11","J4","1","LIN FM","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"12","J5","1","PWM","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"13","J6","1","SYNC","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"14","J7","1","Sine","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"15","J8","1","Saw","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"16","J9","1","Triangle","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"17","J10","1","Square","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"18","J11","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"19","Q1","1","MMBFJ111","Package_TO_SOT_SMD:SOT-23","","Mouser","512-MMBFJ111"
"20","R1","1","70K","Resistor_SMD:R_0805_2012Metric","","",""
"21","R2, R38","2","50K","Resistor_SMD:R_0805_2012Metric","","",""
"22","R3, R4, R5, R15, R16, R20, R23, R30, R32, R35, R36, R37, R41","13","100K","Resistor_SMD:R_0805_2012Metric","","",""
"23","R6","1","3M3","Resistor_SMD:R_0805_2012Metric","","",""
"24","R7, R27","2","220K","Resistor_SMD:R_0805_2012Metric","","",""
"25","R8, R34","2","470K","Resistor_SMD:R_0805_2012Metric","","",""
"26","R9, R14","2","7.5K","Resistor_SMD:R_0805_2012Metric","","",""
"27","R10","1","47K","Resistor_SMD:R_0805_2012Metric","","",""
"28","R11, R25","2","33K","Resistor_SMD:R_0805_2012Metric","","",""
"29","R12, R13","2","10","Resistor_SMD:R_0805_2012Metric","","",""
"30","R17, R19, R26","3","1M","Resistor_SMD:R_0805_2012Metric","","",""
"31","R18, R48","2","22K","Resistor_SMD:R_0805_2012Metric","","",""
"32","R21, R24, R28, R29, R33, R39","6","10K","Resistor_SMD:R_0805_2012Metric","","",""
"33","R22","1","5K6","Resistor_SMD:R_0805_2012Metric","","",""
"34","R31","1","180K","Resistor_SMD:R_0805_2012Metric","","",""
"35","R40","1","4.7K","Resistor_SMD:R_0805_2012Metric","","",""
"36","R42, R47","2","150K","Resistor_SMD:R_0805_2012Metric","","",""
"37","R43, R44, R46, R51","4","1K","Resistor_SMD:R_0805_2012Metric","","",""
"38","R45","1","200K","Resistor_SMD:R_0805_2012Metric","","",""
"39","R49","1","1.5K","Resistor_SMD:R_0805_2012Metric","","",""
"40","R50","1","15K","Resistor_SMD:R_0805_2012Metric","","",""
"41","RV1, RV2, RV3, RV4, RV5, RV7","6","B25K","Eurorack:Potentiometer_RV16AF-41-15R1","","Tayda","A-2491"
"42","RV6","1","220K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","Tayda","A-310"
"43","RV8","1","25K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","Tayda","A-595"
"44","RV9","1","10K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","Tayda","A-586"
"45","RV10","1","100K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","Tayda","A-587"
"46","RV11","1","47K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","Tayda","A-598"
"47","SW1","1","Sync Mode","Eurorack:Switch_SPDT_Tayda_A-5751","","Tayda","X-4673"
"48","U1","1","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","Mouser","595-TL074CN"
"49","U2","1","OPA2134","Package_SO:SO-8_3.9x4.9mm_P1.27mm","","Mouser","595-OPA2137UA/2K5 --or-- 595-OPA2134UA/2K5"
"50","U3","1","L78L12_SO8","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","Mouser","863-NCV78L12ABDR2G"
"51","U4","1","L79L12_SO8","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","Mouser","863-MC79L12ABDR2G"
"52","U5","1","thermally_coupled_transistor_pair","Eurorack:SOT457+thermco_resistor","","Mouser --and-- Thonk","771-BCM847DS135 --and-- LT16S102F33"
"53","U6","1","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","Mouser","595-TL074CDR"
"54","U7","1","LM311","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","Mouser","863-LM311DR2G"
